Date,SP500,Fed-Rate,GDP,GDP_new-release,GDP_Q/Q,GDP_Y/Y,CPI,CPI_M/M,CPI_Y/Y,CPI-Core,CPI-Core_M/M,CPI-Core_Y/Y,PCE,PCE_M/M,PCE_Y/Y,PCE-Core,PCE-Core_M/M,PCE-Core_Y/Y,Unemploy,Unemploy_M/M,Unemploy_Y/Y,Total-Emp,Total-Emp_M/M,Total-Emp_Y/Y,Home-Starts,Home-Starts_M/M,Home-Starts_Y/Y,Home-Sales,Home-Sales_M/M,Home-Sales_Y/Y,Con-Spends,Con-Spends_M/M,Con-Spends_Y/Y,Con-Sentim,Con-Sentim_M/M,Con-Sentim_Y/Y
1991-12-04,380.07000732421875,4.71,4861.0,0.0,,,137.2,0.0007293946024800047,0.029257314328581918,,,,,,,,,,6.8,0.014925373134328401,0.1929824561403508,109018.0,0.0005323054331864974,-0.013349261944195612,1096.0,0.06098741529525653,0.05283381364073003,,,,,,,,,
1991-12-05,377.3900146484375,4.72,4861.0,0.0,,,137.2,0.0007293946024800047,0.029257314328581918,,,,,,,,,,6.8,0.014925373134328401,0.1929824561403508,109018.0,0.0005323054331864974,-0.013349261944195612,1096.0,0.06098741529525653,0.05283381364073003,,,,,,,,,
1991-12-06,379.1000061035156,4.52,4861.0,0.0,,,137.2,0.0007293946024800047,0.029257314328581918,,,,,,,,,,6.8,0.0,0.15254237288135575,108829.0,-0.0017336586618723615,-0.012145197745241365,1096.0,0.06098741529525653,0.05283381364073003,,,,,,,,,
1991-12-09,378.260009765625,4.52,4861.0,0.0,,,137.2,0.0007293946024800047,0.029257314328581918,,,,,,,,,,6.8,0.0,0.15254237288135575,108829.0,-0.0017336586618723615,-0.012145197745241365,1096.0,0.06098741529525653,0.05283381364073003,,,,,,,,,
1991-12-10,377.8999938964844,4.4,4861.0,0.0,,,137.2,0.0007293946024800047,0.029257314328581918,,,,,,,,,,6.8,0.0,0.15254237288135575,108829.0,-0.0017336586618723615,-0.012145197745241365,1096.0,0.06098741529525653,0.05283381364073003,,,,,,,,,
1991-12-11,377.70001220703125,4.59,4861.0,0.0,,,137.2,0.0007293946024800047,0.029257314328581918,,,,,,,,,,6.8,0.0,0.15254237288135575,108829.0,-0.0017336586618723615,-0.012145197745241365,1096.0,0.06098741529525653,0.05283381364073003,,,,,,,,,
1991-12-12,381.54998779296875,4.57,4861.0,0.0,,,137.2,0.0007293946024800047,0.029257314328581918,,,,,,,,,,6.8,0.0,0.15254237288135575,108829.0,-0.0017336586618723615,-0.012145197745241365,1096.0,0.06098741529525653,0.05283381364073003,,,,,,,,,
1991-12-13,384.4700012207031,4.42,4861.0,0.0,,,137.8,0.004373177842565745,0.030665669409125185,,,,,,,,,,6.8,0.0,0.15254237288135575,108829.0,-0.0017336586618723615,-0.012145197745241365,1096.0,0.06098741529525653,0.05283381364073003,,,,,,,,,
1991-12-16,384.4599914550781,4.65,4861.0,0.0,,,137.8,0.004373177842565745,0.030665669409125185,,,,,,,,,,6.8,0.0,0.15254237288135575,108829.0,-0.0017336586618723615,-0.012145197745241365,1096.0,0.06098741529525653,0.05283381364073003,,,,,,,,,
1991-12-17,382.739990234375,4.5,4861.0,0.0,,,137.8,0.004373177842565745,0.030665669409125185,,,,,,,,,,6.8,0.0,0.15254237288135575,108829.0,-0.0017336586618723615,-0.012145197745241365,1066.0,-0.027372262773722622,-0.055801594331266635,,,,,,,,,
1991-12-18,383.4800109863281,4.47,4861.0,0.0,,,137.8,0.004373177842565745,0.030665669409125185,,,,,,,,,,6.8,0.0,0.15254237288135575,108829.0,-0.0017336586618723615,-0.012145197745241365,1066.0,-0.027372262773722622,-0.055801594331266635,,,,,,,,,
1991-12-19,382.5199890136719,4.6,4861.0,0.0,,,137.8,0.004373177842565745,0.030665669409125185,,,,,,,,,,6.8,0.0,0.15254237288135575,108829.0,-0.0017336586618723615,-0.012145197745241365,1066.0,-0.027372262773722622,-0.055801594331266635,,,,,,,,,
1991-12-20,387.0400085449219,4.11,4862.7,0.0,,,137.8,0.004373177842565745,0.030665669409125185,,,,,,,,,,6.8,0.0,0.15254237288135575,108829.0,-0.0017336586618723615,-0.012145197745241365,1066.0,-0.027372262773722622,-0.055801594331266635,,,,,,,,,
1991-12-23,396.82000732421875,4.26,4862.7,0.0,,,137.8,0.004373177842565745,0.030665669409125185,,,,,,,,,,6.8,0.0,0.15254237288135575,108829.0,-0.0017336586618723615,-0.012145197745241365,1066.0,-0.027372262773722622,-0.055801594331266635,,,,,,,,,
1991-12-24,399.3299865722656,4.19,4862.7,0.0,,,137.8,0.004373177842565745,0.030665669409125185,,,,,,,,,,6.8,0.0,0.15254237288135575,108829.0,-0.0017336586618723615,-0.012145197745241365,1066.0,-0.027372262773722622,-0.055801594331266635,,,,,,,,,
1991-12-26,404.8399963378906,4.59,4862.7,0.0,,,137.8,0.004373177842565745,0.030665669409125185,,,,,,,,,,6.8,0.0,0.15254237288135575,108829.0,-0.0017336586618723615,-0.012145197745241365,1066.0,-0.027372262773722622,-0.055801594331266635,,,,,,,,,
1991-12-27,406.4599914550781,4.14,4862.7,0.0,,,137.8,0.004373177842565745,0.030665669409125185,,,,,,,,,,6.8,0.0,0.15254237288135575,108829.0,-0.0017336586618723615,-0.012145197745241365,1066.0,-0.027372262773722622,-0.055801594331266635,,,,,,,,,
